member_id,Meetup_1,Meetup_2,Meetup_3,Intro,Photo,Location_munich,last_visited_within_2wb_m2,last_visited_within_1wb_m2,last_visited_within_2wb_m3,last_visited_within_1wb_m3
135,x,x,-,0,1,0,0,0,1,1
136,x,RYS,-,0,1,1,1,1,0,0
137,RYN,-,-,0,1,1,0,0,0,0
138,-,-,-,0,1,1,0,0,0,0
139,x,-,-,0,1,1,0,0,0,0
140,x,x,-,0,0,1,0,0,0,0
141,x,x,-,0,1,1,0,0,0,0
142,-,-,-,0,1,1,0,0,0,0
143,x,x,-,0,1,1,0,0,0,0
144,-,-,-,0,1,0,0,0,0,0
145,x,x,RYN,0,0,1,0,0,1,1
146,x,RN,-,0,1,1,1,1,0,0
147,-,-,-,0,1,0,1,1,0,0
148,x,-,-,0,1,1,1,0,1,1
149,-,-,-,0,1,1,0,0,0,0
150,RN,-,-,0,1,1,1,0,0,0
151,RYN,-,-,0,1,1,0,0,0,0
152,-,-,-,0,1,1,0,0,0,0
153,RN,-,-,0,1,1,0,0,0,0
154,x,x,-,0,0,1,0,0,1,1
155,x,x,-,0,1,1,0,0,1,1
156,x,-,-,0,1,1,0,0,0,0
157,RYN,-,RYN,0,1,1,0,0,1,0
158,x,x,-,0,1,0,0,0,0,0
159,-,RN,-,0,1,1,1,1,0,0
160,-,-,-,0,1,1,0,0,0,0
161,-,-,-,0,1,1,0,0,0,0
162,-,-,-,0,1,1,0,0,0,0
163,RYN,-,-,0,0,1,0,0,0,0
164,RYS,RYS,-,0,1,1,1,0,0,0
165,x,x,RYS,0,1,0,0,0,1,1
166,x,x,RYS,0,0,1,0,0,1,1
167,RYN,-,-,0,1,1,0,0,0,0
168,x,RN,-,0,1,1,1,1,0,0
169,x,-,-,0,1,1,0,0,0,0
170,RN,-,-,0,1,1,0,0,0,0
171,RYS,RYS,RN,0,1,1,0,0,1,1
172,-,-,-,0,1,1,1,1,1,1
173,-,RN,-,0,1,1,1,0,0,0
174,x,x,-,0,1,1,1,1,0,0
175,RN,-,-,0,1,1,0,0,0,0
176,x,-,-,0,1,1,1,1,1,0
177,RN,RYN,RN,0,1,1,1,1,1,1
178,x,x,-,0,1,1,0,0,1,0
179,-,-,-,0,0,1,0,0,0,0
180,RN,RN,-,0,1,1,0,0,1,1
181,x,x,-,0,1,1,0,0,0,0
182,-,RYS,RN,0,1,1,1,1,1,1
